id,name,email,mobile_number,national_id,password,user_name,department_id,hire_date,position,created_at,created_by,is_deleted
2,Maury Attrie,mattrie1@alibaba.com,1187536657,28989074651897,$2a$12$nITZnRt16ZmGtefs.06Wi.1BBt8cSsxZ9eQwlSNPardKKBvy4.92m,mattrie1,4,2024-08-14,HR,2024-06-04,1,0
3,Briant Hubatsch,bhubatsch2@51.la,1002807723,93109187167256,$2a$12$nITZnRt16ZmGtefs.06Wi.1BBt8cSsxZ9eQwlSNPardKKBvy4.92m,bhubatsch2,1,2024-04-26,PO,2024-02-09,1,0
4,Giulietta Gleadhall,ggleadhall3@omniture.com,1055668742,35012416089561,$2a$12$nITZnRt16ZmGtefs.06Wi.1BBt8cSsxZ9eQwlSNPardKKBvy4.92m,ggleadhall3,3,2024-04-14,HR,2024-06-27,1,0
5,Bradly Bollon,bbollon4@scribd.com,1089886587,94112473887125,$2a$12$nITZnRt16ZmGtefs.06Wi.1BBt8cSsxZ9eQwlSNPardKKBvy4.92m,bbollon4,5,2024-07-13,IT,2024-05-30,1,0
6,Artemis Lillywhite,alillywhite5@eepurl.com,1171999107,7899505655215,$2a$12$nITZnRt16ZmGtefs.06Wi.1BBt8cSsxZ9eQwlSNPardKKBvy4.92m,alillywhite5,3,2024-07-27,PO,2024-05-29,1,0
7,Bartholemy Emanson,bemanson6@nyu.edu,1595023135,79365839150673,$2a$12$nITZnRt16ZmGtefs.06Wi.1BBt8cSsxZ9eQwlSNPardKKBvy4.92m,bemanson6,7,2024-09-21,PO,2024-07-03,1,0
8,Brad Heymann,bheymann7@csmonitor.com,1005342613,22528473089606,$2a$12$nITZnRt16ZmGtefs.06Wi.1BBt8cSsxZ9eQwlSNPardKKBvy4.92m,bheymann7,2,2024-01-13,DEV,2024-03-03,1,0
9,Jeana MacBean,jmacbean8@virginia.edu,1156621398,97484655723533,$2a$12$nITZnRt16ZmGtefs.06Wi.1BBt8cSsxZ9eQwlSNPardKKBvy4.92m,jmacbean8,4,2024-08-28,DEV,2024-08-10,1,0
10,Adolf Applewhite,aapplewhite9@over-blog.com,1594023223,98416705681690,$2a$12$nITZnRt16ZmGtefs.06Wi.1BBt8cSsxZ9eQwlSNPardKKBvy4.92m,aapplewhite9,1,2024-05-17,DEV,2024-07-12,1,0
11,Taddeo Pinnell,tpinnella@craigslist.org,1215277139,85048859739521,$2a$12$nITZnRt16ZmGtefs.06Wi.1BBt8cSsxZ9eQwlSNPardKKBvy4.92m,tpinnella,1,2024-07-14,DEV,2024-01-05,1,0
12,Luciano Muggach,lmuggachb@ameblo.jp,1230590720,56787778942126,$2a$12$nITZnRt16ZmGtefs.06Wi.1BBt8cSsxZ9eQwlSNPardKKBvy4.92m,lmuggachb,2,2024-01-10,HR,2024-02-12,1,0
13,Nataniel Throssell,nthrossellc@bravesites.com,1119132856,45932502762989,$2a$12$nITZnRt16ZmGtefs.06Wi.1BBt8cSsxZ9eQwlSNPardKKBvy4.92m,nthrossellc,7,2023-12-22,PO,2024-07-27,1,0
14,Patricio Hollingsby,phollingsbyd@pbs.org,1298702431,69057550801311,$2a$12$nITZnRt16ZmGtefs.06Wi.1BBt8cSsxZ9eQwlSNPardKKBvy4.92m,phollingsbyd,2,2024-01-11,TEAM_LEAD,2024-01-23,1,0
15,Jodee O'Shaughnessy,joshaughnessye@histats.com,1555151096,24726976848080,$2a$12$nITZnRt16ZmGtefs.06Wi.1BBt8cSsxZ9eQwlSNPardKKBvy4.92m,joshaughnessye,6,2024-08-12,HR,2024-08-25,1,0
16,Abbott Dublin,adublinf@narod.ru,1280632476,14501709971115,$2a$12$nITZnRt16ZmGtefs.06Wi.1BBt8cSsxZ9eQwlSNPardKKBvy4.92m,adublinf,6,2024-03-02,IT,2024-04-26,1,0
17,Valdemar Ridett,vridettg@rakuten.co.jp,1020145459,69696426960,$2a$12$nITZnRt16ZmGtefs.06Wi.1BBt8cSsxZ9eQwlSNPardKKBvy4.92m,vridettg,1,2024-07-20,HR,2024-07-10,1,0
18,Flss Djurdjevic,fdjurdjevich@rambler.ru,1540695480,95245825548664,$2a$12$nITZnRt16ZmGtefs.06Wi.1BBt8cSsxZ9eQwlSNPardKKBvy4.92m,fdjurdjevich,6,2024-07-21,IT,2024-02-15,1,0
19,Tris Trickett,ttricketti@si.edu,1597404843,98742348269323,$2a$12$nITZnRt16ZmGtefs.06Wi.1BBt8cSsxZ9eQwlSNPardKKBvy4.92m,ttricketti,7,2024-05-22,TEAM_LEAD,2024-01-01,1,0
